square_feet,spray_count,mp_count,drip_count,rotor_count,valve_count,value_mill,est_irrig_value,region,building_type,mix_manufacturers,general_contractor
84808.11,7.1584997,6.0206885,2.691599,4.8343205,20.652988,13.9672165,6173.286,Southwest,school,True,Nix Construction
85937.46,7.225534,6.1827626,2.7059228,4.9177947,20.78477,14.027214,6213.0835,Northern California ,school,True,Nix Construction
85430.02,7.1929917,6.082915,2.6991227,4.889342,20.726002,13.989383,6190.0737,Southern California,school,True,Nix Construction
85129.266,7.1913,6.1008177,2.6974971,4.864247,20.708853,13.988579,6192.877,Southwest,school,True,Nix Construction
84725.48,7.140872,5.999742,2.6895971,4.819359,20.633606,13.959214,6166.721,Southwest,school,True,Nix Construction
84836.18,7.1698513,6.039244,2.693342,4.8422217,20.661991,13.965996,6173.9946,Central States,school,True,Nix Construction
85774.6,7.236023,6.1688957,2.7113032,4.9306345,20.817595,14.027692,6216.4185,Northeast,school,True,Nix Construction
84753.42,7.1417747,6.006115,2.6897807,4.8193493,20.633724,13.960095,6167.1987,Southwest,school,True,Nix Construction
85347.31,7.203806,6.1430125,2.6999538,4.891538,20.750872,13.994861,6201.1567,Southwest,school,True,Nix Construction
85411.58,7.1871333,6.087009,2.6988418,4.8825727,20.715942,13.99206,6190.193,Southern California,school,True,Nix Construction
85551.836,7.2395506,6.166317,2.7093952,4.8960094,20.79094,14.011593,6209.9976,Southeast,school,True,Nix Construction
85418.84,7.214084,6.090065,2.698855,4.9031887,20.766176,14.010538,6190.664,Southwest,school,True,Nix Construction
85334.73,7.216168,6.132384,2.7027576,4.898654,20.74595,13.9934435,6193.875,Southeast,school,True,Nix Construction
85131.32,7.181314,6.0705543,2.6960144,4.8498125,20.69444,13.981735,6187.8135,Northern California ,school,True,Nix Construction
84766.734,7.1555076,6.0141025,2.6908422,4.8236685,20.64552,13.962218,6169.3306,Southern California,school,True,Nix Construction
84781.51,7.149912,6.0205545,2.690386,4.824651,20.640722,13.962906,6174.0557,Southern California,school,True,Nix Construction
84813.41,7.148397,6.010404,2.6908123,4.8275695,20.651676,13.9636755,6171.9043,Northern California ,school,True,Nix Construction
